sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:48:11 +0900,2020-09-16 19:47:03 +0900,2020-09-16 19:48:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:49:07 +0900,2020-09-16 19:48:03 +0900,2020-09-16 19:49:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:50:09 +0900,2020-09-16 19:49:03 +0900,2020-09-16 19:50:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:51:10 +0900,2020-09-16 19:50:03 +0900,2020-09-16 19:51:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:52:12 +0900,2020-09-16 19:51:03 +0900,2020-09-16 19:52:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:53:11 +0900,2020-09-16 19:52:03 +0900,2020-09-16 19:53:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:54:10 +0900,2020-09-16 19:53:03 +0900,2020-09-16 19:54:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:55:11 +0900,2020-09-16 19:54:03 +0900,2020-09-16 19:55:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:56:08 +0900,2020-09-16 19:55:03 +0900,2020-09-16 19:56:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:57:07 +0900,2020-09-16 19:56:03 +0900,2020-09-16 19:57:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:58:11 +0900,2020-09-16 19:57:03 +0900,2020-09-16 19:58:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 19:59:10 +0900,2020-09-16 19:58:03 +0900,2020-09-16 19:59:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:00:09 +0900,2020-09-16 19:59:03 +0900,2020-09-16 20:00:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:01:16 +0900,2020-09-16 20:00:03 +0900,2020-09-16 20:01:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:02:07 +0900,2020-09-16 20:01:03 +0900,2020-09-16 20:02:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:03:09 +0900,2020-09-16 20:02:03 +0900,2020-09-16 20:03:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:04:08 +0900,2020-09-16 20:03:03 +0900,2020-09-16 20:04:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:05:17 +0900,2020-09-16 20:04:03 +0900,2020-09-16 20:05:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:06:11 +0900,2020-09-16 20:05:03 +0900,2020-09-16 20:06:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:07:15 +0900,2020-09-16 20:06:03 +0900,2020-09-16 20:07:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:08:16 +0900,2020-09-16 20:07:03 +0900,2020-09-16 20:08:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:09:08 +0900,2020-09-16 20:08:03 +0900,2020-09-16 20:09:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:10:17 +0900,2020-09-16 20:09:03 +0900,2020-09-16 20:10:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:11:16 +0900,2020-09-16 20:10:03 +0900,2020-09-16 20:11:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:12:15 +0900,2020-09-16 20:11:03 +0900,2020-09-16 20:12:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:13:09 +0900,2020-09-16 20:12:03 +0900,2020-09-16 20:13:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:14:08 +0900,2020-09-16 20:13:03 +0900,2020-09-16 20:14:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:15:07 +0900,2020-09-16 20:14:03 +0900,2020-09-16 20:15:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:16:11 +0900,2020-09-16 20:15:03 +0900,2020-09-16 20:16:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:17:15 +0900,2020-09-16 20:16:03 +0900,2020-09-16 20:17:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:18:11 +0900,2020-09-16 20:17:03 +0900,2020-09-16 20:18:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:19:11 +0900,2020-09-16 20:18:03 +0900,2020-09-16 20:19:03 +0900,1
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x282907390>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","AppleExerciseTime","min",2020-09-16 20:20:15 +0900,2020-09-16 20:19:03 +0900,2020-09-16 20:20:03 +0900,1
