sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:06 +0900,2020-09-20 17:45:04 +0900,2020-09-20 17:45:05 +0900,0.000458015
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:08 +0900,2020-09-20 17:45:06 +0900,2020-09-20 17:45:07 +0900,0.000436296
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:10 +0900,2020-09-20 17:45:08 +0900,2020-09-20 17:45:09 +0900,0.000870845
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:13 +0900,2020-09-20 17:45:12 +0900,2020-09-20 17:45:13 +0900,0.000311972
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:15 +0900,2020-09-20 17:45:13 +0900,2020-09-20 17:45:14 +0900,0.000388119
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:16 +0900,2020-09-20 17:45:14 +0900,2020-09-20 17:45:15 +0900,4.73489e-05
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:17 +0900,2020-09-20 17:45:15 +0900,2020-09-20 17:45:16 +0900,0.000239916
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:20 +0900,2020-09-20 17:45:18 +0900,2020-09-20 17:45:19 +0900,0.000210834
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:21 +0900,2020-09-20 17:45:19 +0900,2020-09-20 17:45:20 +0900,0.000234187
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:21 +0900,2020-09-20 17:45:20 +0900,2020-09-20 17:45:21 +0900,0.000336318
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:25 +0900,2020-09-20 17:45:23 +0900,2020-09-20 17:45:24 +0900,0.000221764
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:25 +0900,2020-09-20 17:45:24 +0900,2020-09-20 17:45:25 +0900,0.000320046
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:27 +0900,2020-09-20 17:45:25 +0900,2020-09-20 17:45:26 +0900,0.000237529
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:28 +0900,2020-09-20 17:45:26 +0900,2020-09-20 17:45:27 +0900,0.000878994
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:28 +0900,2020-09-20 17:45:27 +0900,2020-09-20 17:45:28 +0900,0.000534535
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:30 +0900,2020-09-20 17:45:28 +0900,2020-09-20 17:45:29 +0900,0.000465695
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:30 +0900,2020-09-20 17:45:29 +0900,2020-09-20 17:45:30 +0900,0.000323491
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:32 +0900,2020-09-20 17:45:30 +0900,2020-09-20 17:45:31 +0900,8.22123e-05
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:32 +0900,2020-09-20 17:45:31 +0900,2020-09-20 17:45:32 +0900,4.73221e-05
"sang hyuk의 Apple Watch","6.2.8","<<HKDevice: 0x2829299f0>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch3,4, software:6.2.8>","DistanceCycling","km",2020-09-20 17:45:33 +0900,2020-09-20 17:45:32 +0900,2020-09-20 17:45:33 +0900,0.000696806
