sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-02 10:28:11 +0900,2017-11-02 09:02:48 +0900,2017-11-02 09:02:48 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-02 10:28:11 +0900,2017-11-02 09:02:58 +0900,2017-11-02 09:02:58 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-02 10:28:11 +0900,2017-11-02 09:29:15 +0900,2017-11-02 09:29:15 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-02 15:00:52 +0900,2017-11-02 14:38:41 +0900,2017-11-02 14:38:41 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-02 15:00:52 +0900,2017-11-02 14:41:24 +0900,2017-11-02 14:41:24 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 10:40:51 +0900,2017-11-03 09:49:12 +0900,2017-11-03 09:49:12 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 10:40:51 +0900,2017-11-03 09:49:25 +0900,2017-11-03 09:49:25 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 14:01:16 +0900,2017-11-03 13:40:31 +0900,2017-11-03 13:40:31 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 15:29:23 +0900,2017-11-03 14:13:48 +0900,2017-11-03 14:13:48 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 15:29:23 +0900,2017-11-03 14:13:58 +0900,2017-11-03 14:13:58 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 19:07:37 +0900,2017-11-03 18:23:26 +0900,2017-11-03 18:23:26 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 19:07:37 +0900,2017-11-03 18:23:44 +0900,2017-11-03 18:23:44 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 19:07:37 +0900,2017-11-03 18:23:59 +0900,2017-11-03 18:23:59 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 19:07:37 +0900,2017-11-03 18:24:12 +0900,2017-11-03 18:24:12 +0900,1
"sang hyuk의 iPhone","11.0.3","<<HKDevice: 0x28295c000>, name:iPhone, manufacturer:Apple, model:iPhone, hardware:iPhone7,1, software:11.0.3>","FlightsClimbed","count",2017-11-03 19:07:37 +0900,2017-11-03 19:00:58 +0900,2017-11-03 19:00:58 +0900,1
