sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 06:26:28 +0900,2020-09-16 06:20:00 +0900,2020-09-16 06:25:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 09:47:41 +0900,2020-09-16 09:40:00 +0900,2020-09-16 09:45:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 17:35:04 +0900,2020-09-16 17:30:00 +0900,2020-09-16 17:35:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 18:45:10 +0900,2020-09-16 18:40:00 +0900,2020-09-16 18:45:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 18:50:05 +0900,2020-09-16 18:45:00 +0900,2020-09-16 18:50:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 19:45:03 +0900,2020-09-16 19:40:00 +0900,2020-09-16 19:45:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 19:50:05 +0900,2020-09-16 19:45:00 +0900,2020-09-16 19:50:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 19:55:05 +0900,2020-09-16 19:50:00 +0900,2020-09-16 19:55:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:00:03 +0900,2020-09-16 19:55:00 +0900,2020-09-16 20:00:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:05:10 +0900,2020-09-16 20:00:00 +0900,2020-09-16 20:05:00 +0900,3
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:10:11 +0900,2020-09-16 20:05:00 +0900,2020-09-16 20:10:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:15:06 +0900,2020-09-16 20:10:00 +0900,2020-09-16 20:15:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:20:03 +0900,2020-09-16 20:15:00 +0900,2020-09-16 20:20:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:25:11 +0900,2020-09-16 20:20:00 +0900,2020-09-16 20:25:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:30:04 +0900,2020-09-16 20:25:00 +0900,2020-09-16 20:30:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:35:04 +0900,2020-09-16 20:30:00 +0900,2020-09-16 20:35:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:40:12 +0900,2020-09-16 20:35:00 +0900,2020-09-16 20:40:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:45:07 +0900,2020-09-16 20:40:00 +0900,2020-09-16 20:45:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:50:04 +0900,2020-09-16 20:45:00 +0900,2020-09-16 20:50:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 20:55:12 +0900,2020-09-16 20:50:00 +0900,2020-09-16 20:55:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:00:07 +0900,2020-09-16 20:55:00 +0900,2020-09-16 21:00:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:05:05 +0900,2020-09-16 21:00:00 +0900,2020-09-16 21:05:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:10:10 +0900,2020-09-16 21:05:00 +0900,2020-09-16 21:10:00 +0900,3
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:15:07 +0900,2020-09-16 21:10:00 +0900,2020-09-16 21:15:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:20:06 +0900,2020-09-16 21:15:00 +0900,2020-09-16 21:20:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:25:05 +0900,2020-09-16 21:20:00 +0900,2020-09-16 21:25:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:30:07 +0900,2020-09-16 21:25:00 +0900,2020-09-16 21:30:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:35:06 +0900,2020-09-16 21:30:00 +0900,2020-09-16 21:35:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:40:05 +0900,2020-09-16 21:35:00 +0900,2020-09-16 21:40:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:45:07 +0900,2020-09-16 21:40:00 +0900,2020-09-16 21:45:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:50:03 +0900,2020-09-16 21:45:00 +0900,2020-09-16 21:50:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 21:55:03 +0900,2020-09-16 21:50:00 +0900,2020-09-16 21:55:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 22:00:04 +0900,2020-09-16 21:55:00 +0900,2020-09-16 22:00:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 22:05:03 +0900,2020-09-16 22:00:00 +0900,2020-09-16 22:05:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:02:21 +0900,2020-09-16 22:05:00 +0900,2020-09-16 22:10:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:05:02 +0900,2020-09-16 23:00:00 +0900,2020-09-16 23:05:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:10:07 +0900,2020-09-16 23:05:00 +0900,2020-09-16 23:10:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:15:11 +0900,2020-09-16 23:10:00 +0900,2020-09-16 23:15:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:40:11 +0900,2020-09-16 23:35:00 +0900,2020-09-16 23:40:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:45:10 +0900,2020-09-16 23:40:00 +0900,2020-09-16 23:45:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:50:12 +0900,2020-09-16 23:45:00 +0900,2020-09-16 23:50:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-16 23:55:11 +0900,2020-09-16 23:50:00 +0900,2020-09-16 23:55:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:20:02 +0900,2020-09-17 08:15:00 +0900,2020-09-17 08:20:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:25:04 +0900,2020-09-17 08:20:00 +0900,2020-09-17 08:25:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:30:06 +0900,2020-09-17 08:25:00 +0900,2020-09-17 08:30:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:35:11 +0900,2020-09-17 08:30:00 +0900,2020-09-17 08:35:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:41:01 +0900,2020-09-17 08:35:00 +0900,2020-09-17 08:40:00 +0900,3
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:45:10 +0900,2020-09-17 08:40:00 +0900,2020-09-17 08:45:00 +0900,4
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:50:06 +0900,2020-09-17 08:45:00 +0900,2020-09-17 08:50:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 08:55:03 +0900,2020-09-17 08:50:00 +0900,2020-09-17 08:55:00 +0900,3
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 09:00:05 +0900,2020-09-17 08:55:00 +0900,2020-09-17 09:00:00 +0900,5
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 09:05:12 +0900,2020-09-17 09:00:00 +0900,2020-09-17 09:05:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 09:50:03 +0900,2020-09-17 09:45:00 +0900,2020-09-17 09:50:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 11:00:06 +0900,2020-09-17 10:55:00 +0900,2020-09-17 11:00:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 11:05:11 +0900,2020-09-17 11:00:00 +0900,2020-09-17 11:05:00 +0900,1
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 11:11:39 +0900,2020-09-17 11:05:00 +0900,2020-09-17 11:10:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 11:46:14 +0900,2020-09-17 11:40:00 +0900,2020-09-17 11:45:00 +0900,2
"sang hyuk의 Apple Watch",,,"AppleStandTime","min",2020-09-17 11:50:04 +0900,2020-09-17 11:45:00 +0900,2020-09-17 11:50:00 +0900,4
